Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,ACT,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"78,45,557.56","74,05,237.78"
2011-12,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"2,58,78,223.51","2,94,69,301.22"
2011-12,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"17,40,00,000.00","19,57,54,403.88"
2011-12,ACT,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"2,84,13,710.10","3,48,94,604.09"
2011-12,ACT,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"23,29,108.03","28,53,160.18"
2011-12,ACT,Hospitals,Private hospitals,Canadian Government,Premium rebates,"3,30,89,182.56","4,06,36,506.85"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"6,43,70,521.03","7,90,52,817.75"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Individuals,"1,45,65,797.10","1,78,88,115.33"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"89,86,949.88","1,10,43,114.14"
2011-12,ACT,Hospitals,Private hospitals,State and local government,State and local government,"47,34,000.00","58,13,779.87"
2011-12,ACT,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"2,28,81,192.17","2,81,00,172.03"
2011-12,ACT,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"22,89,58,987.12","28,11,09,725.05"
2011-12,ACT,Hospitals,Public hospital services,Canadian Government,Premium rebates,"40,22,231.50","49,39,663.82"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"78,24,706.37","96,09,446.63"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Individuals,"28,33,000.00","34,79,180.05"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"91,22,929.19","1,12,03,781.59"
2011-12,ACT,Hospitals,Public hospital services,State and local government,State and local government,"63,80,39,565.85","78,34,21,689.97"
2011-12,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"23,13,653.15","30,00,706.41"
2011-12,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-23,13,653.15","-30,00,706.41"
2011-12,ACT,Other services,Administration,Canadian Government,Department of Veterans' Affairs,"4,28,25,857.26","5,55,43,253.88"
2011-12,ACT,Other services,Administration,Canadian Government,DoHAC and other,"2,03,18,433.80","2,58,60,621.66"
2011-12,ACT,Other services,Administration,Canadian Government,Premium rebates,"70,24,229.20","91,10,116.42"
2011-12,ACT,Other services,Administration,Non-government,Health insurance funds,"1,36,64,076.30","1,77,21,706.18"
2011-12,ACT,Other services,Administration,State and local government,State and local government,"5,29,000.00","6,49,659.81"
2011-12,ACT,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,163.59,187.41
2011-12,ACT,Other services,Aids and appliances,Canadian Government,DoHAC and other,"62,57,092.40","76,79,794.97"
2011-12,ACT,Other services,Aids and appliances,Canadian Government,Premium rebates,"37,65,192.74","43,13,547.39"
2011-12,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"73,24,345.40","83,91,047.47"
2011-12,ACT,Other services,Aids and appliances,Non-government,Individuals,"2,15,37,084.87","2,46,73,700.04"
2011-12,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"14,70,907.99","16,85,127.90"
2011-12,ACT,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,ACT,Other services,Patient transport services,Canadian Government,DoHAC and other,0,0
2011-12,ACT,Other services,Patient transport services,Canadian Government,Premium rebates,"61,56,143.02","75,60,300.03"
2011-12,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"1,19,75,407.63","1,47,06,882.93"
2011-12,ACT,Other services,Patient transport services,Non-government,Individuals,0,0
2011-12,ACT,Other services,Patient transport services,Non-government,Other source of funds,"11,92,190.65","14,64,117.87"
2011-12,ACT,Other services,Patient transport services,State and local government,State and local government,"1,74,85,923.37","2,14,50,683.00"
2011-12,ACT,Primary health care,All other medications,Canadian Government,DoHAC and other,"71,32,312.58","82,40,107.79"
2011-12,ACT,Primary health care,All other medications,Canadian Government,Premium rebates,"4,69,414.54","5,12,986.36"
2011-12,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"9,13,141.64","9,97,900.92"
2011-12,ACT,Primary health care,All other medications,Non-government,Individuals,"7,67,44,326.63","8,38,67,859.52"
2011-12,ACT,Primary health care,All other medications,Non-government,Other source of funds,"11,19,838.65","12,23,783.89"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"77,33,109.39","89,79,088.10"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"9,87,43,090.25","11,46,83,999.37"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"2,39,88,080.33","2,78,53,102.26"
2011-12,ACT,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,ACT,Primary health care,Community health and other,Canadian Government,DoHAC and other,"1,35,75,172.33","1,66,11,703.19"
2011-12,ACT,Primary health care,Community health and other,Canadian Government,Premium rebates,"3,404.68","4,415.72"
2011-12,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"6,623.04","8,589.80"
2011-12,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"1,48,279.42","1,92,311.89"
2011-12,ACT,Primary health care,Community health and other,State and local government,State and local government,"15,58,71,696.77","19,13,17,375.02"
2011-12,ACT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"57,26,617.65","64,11,570.35"
2011-12,ACT,Primary health care,Dental services,Canadian Government,DoHAC and other,"59,66,825.03","67,16,471.03"
2011-12,ACT,Primary health care,Dental services,Canadian Government,Premium rebates,"1,07,94,071.01","1,20,85,134.70"
